科目名,単位数,区分,第二区分,第三区分,必選自,配当年,配当期,教職コード,備考,JABEE目標,JABEE電力,JABEEシステム,JABEEデバイス
CGとAI応用および演習,2.0,専門教育科目,ユニット専門科目,コンクピスュ・ーｘタＲグ分ラ野フィッ,選択,4,前期／後期,160工業,,,,,
インタラクティブメディアとデザイン,2.0,専門教育科目,ユニット専門科目,メデシ ョ ン 分 野 ィ ア ・ イ ン タラク,選択,34,前期,,,,,,
ヒューマンインタラクションおよび演習,2.0,専門教育科目,ユニット専門科目,メデシ ョ ン 分 野 ィ ア ・ イ ン タラク,選択,34,前期,160工業,,,,,
音声・音響情報処理,2.0,専門教育科目,ユニット専門科目,メデシ ョ ン 分 野 ィ ア ・ イ ン タラク,選択,34,前期,1340情⑤,,,,,
生体情報とVR,2.0,専門教育科目,ユニット専門科目,メデシ ョ ン 分 野 ィ ア ・ イ ン タラク,選択,3,後期,1340情⑤,,,,,
応用音響,2.0,専門教育科目,ユニット専門科目,メデシ ョ ン 分 野 ィ ア ・ イ ン タラク,選択,3,後期,1340情⑤,,,,,
データベースプログラミング演習,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,3,前期,1320情③,,,,,
情報システム設計論,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,3,前期,1330情④,,,,,
サーバプログラミング演習,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,3,後期,1330情④,隔週開講,,,,
ソフトウェア設計,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,34,後期,1320情③,,,,,
ソフトウェア工学と分析・モデリング,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,4,前期,1320情③,,,,,
プログラミング言語論,2.0,専門教育科目,ユニット専門科目,情ソ報フシトスウテェムア分開野発・,選択,4,前期,160工業,,,,,
情報セキュリティの基礎と暗号技術,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,3,前期,1330情④,「enPiT2」科目：セキュリティ総論,,,,
ネットワークプログラミングとクラウド開発,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,3,前期,1330情④,,,,,
ネットワークプログラミングとクラウド開発演習,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,3,前期,1330情④,,,,,
ネットワークセキュリティおよび演習,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,34,後期,1330情④,,,,,
クラウドコンピューティング,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,34,後期,1320情③,,,,,
IoTとセンサデータ処理,2.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,34,後期,160工業,,,,,
セキュリティ先進PBL,1.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,3,前期,,「enPiT2」科目集中講義,,,,
先端セキュリティ,1.0,専門教育科目,ユニット専門科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,選択,3,後期,,「enPiT2」科目集中講義,,,,
職業指導,2.0,専門教育科目,教職関連科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,自由,3,前期,161職指,,,,,
工業技術概論,2.0,専門教育科目,教職関連科目,サ ネイ ッバ トー ワセ ーキ キュ ンリ グテ 分ィ 野・,自由,3,後期,160工業,,,,,
